LA 	AGUA FRUT MANZANA DE PLASTICO DE MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWA MANZ PET X6 0,500 L PN 	y codigo	14104	con preferencia	0

LA 	AGUA FRUT MANZANA DE PLASTICO DE 1650 POR 6	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAF MANZANA PET X6 BSA 1,65L PN 	y codigo	14097	con preferencia	0

LA 	AGUA FRUT NARANJA DURAZNO DE PLASTICO POR 6	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAF NAR-DUR PET X6 1.65L PN	y codigo	14094	con preferencia	0

LA 	AGUA FRUT POMELO DE PLASTICO DE DOS LITROS Y CUARTO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAF POMELO PET X06 2,250L PN 	y codigo	14100	con preferencia	0

LA 	AGUA FRUT POMELO DE PLASTICO DE 1650	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAF POMELO PET X6 1.65L PN	y codigo	14095	con preferencia	0

LA 	AGUA FRUT MANZANA BC DE PLSTICO DE LITRO Y MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAFRUT MANZ BC PET X6 1500CC	y codigo	26413	con preferencia	0

LA 	AGUA FRUT NARANJA DURAZNO BC DE PLASTICO DE LITRO Y MEDIO	DE MARCA	AGUA FRUT	 CON DESCRIPCION 	AWAFRUT NAR-DUR BC PET X6 1500CC	y codigo	26412	con preferencia	0

LA 	BOSQUE GIN DE MEDIO LITRO	DE MARCA	BOSQUE	 CON DESCRIPCION 	BOSQUE GIN OW X4 500CC	y codigo	76363	con preferencia	0

LA 	BOTELLA ARACELLI DE LITRO X 12	DE MARCA	ARACELLI	 CON DESCRIPCION 	BOT 1/1 ARACELI 1000CC X12	y codigo	2776	con preferencia	0

LA 	BOTELLA ARACELLI DE LITRO X 6	DE MARCA	ARACELLI	 CON DESCRIPCION 	BOT 1/1 ARACELI 1000CC X6	y codigo	2781	con preferencia	0

LA 	AMBAR DE LITRO RETORNABLE	DE MARCA	AMBAR	 CON DESCRIPCION 	BOT RET AMBAR 1L ISK	y codigo	17100	con preferencia	0

LA 	GROLSCH RETORNABLE DE LITRO	DE MARCA	GROLSH	 CON DESCRIPCION 	BOT RET VERDE GROLSCH 1L	y codigo	17101	con preferencia	0

LA 	BRAHMA EN LATA PACK DE 4	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA - 4X6 LAT 473	y codigo	7634	con preferencia	0

LA 	BRAHMA DE LITRO RETORNABLE	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA - X12 1000RET#	y codigo	7038	con preferencia	0

LA 	BRAHMA RETORNABLE POR 24	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA - X24 340 RET	y codigo	6582	con preferencia	0

LA 	BRAHMA EN LATA POR 6	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA - X6 LAT 473#	y codigo	7651	con preferencia	0

LA 	BRAHMA CHOP EN LATA ESPECIAL	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA CHOPP CAN 1X12 473 ML SHR EXP ESP	y codigo	13404	con preferencia	0

LA 	BRAHMA DORADA EN LATA	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA DORADA CAN 4X6 473CC	y codigo	25352	con preferencia	0

LA 	BRAHMA DORADA BOTELLA	DE MARCA	BRAHMA	 CON DESCRIPCION 	BRAHMA DORADA OW X6 710CC	y codigo	24012	con preferencia	0

LA 	BUDWEISER RETORNABLE DE LITRO	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUD RET X12 1000 CMQ	y codigo	19019	con preferencia	0

LA 	BUDWEISER MARMOLADO DE 250	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDIN MARMOLADO STEINHAUSER X12 250GR	y codigo	78254	con preferencia	0

LA 	BUDWEISER VAINILLA DE 250	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDIN VAINILLA STEINHAUSER X12 250GR	y codigo	78253	con preferencia	0

LA 	BUDWEISER LATA GRANDE	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDWEISER CAN 4X4 710CC	y codigo	28691	con preferencia	0

LA 	BUDWEISER LATA CHICA	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDWEISER CAN 4X6 410CC 6PACK	y codigo	21810	con preferencia	0

LA 	BUDWEISER BOTELLA	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDWEISER OW X6 710	y codigo	16951	con preferencia	0

LA 	BUDWEISER 20 LITROS	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDWEISER RET KEG 20L	y codigo	24529	con preferencia	0

LA 	BUDWEISER RETORNAVLE DE 340	DE MARCA	BUDWEISER	 CON DESCRIPCION 	BUDWEISER RET X24 340	y codigo	5742	con preferencia	0

LA 	TODDY DE 180	DE MARCA	TODDY	 CON DESCRIPCION 	CACAO EN POLVO TODDY X12 180GR	y codigo	78215	con preferencia	0

LA 	CACHAMATE AMARILLA DE MEDIO KILO	DE MARCA	CACHAMATE	 CON DESCRIPCION 	CACHAMATE AMARILLA X12 500GR	y codigo	76479	con preferencia	0

LA 	CACHAMATE ROSA DE MEDIO KILO	DE MARCA	CACHAMATE	 CON DESCRIPCION 	CACHAMATE ROSA X12 500GR	y codigo	76481	con preferencia	0

LA 	CAPRICCIO DOLCEZZA DE 750	DE MARCA	CAPRICCIO	 CON DESCRIPCION 	CAPRICCIO DOLCEZZA OW X6 750CC	y codigo	22454	con preferencia	0

LA 	CAPRICCI FIORE DE 750	DE MARCA	CAPRICCIO	 CON DESCRIPCION 	CAPRICCIO FIORE OW X6 750CC	y codigo	22455	con preferencia	0

LA 	YERBA CBSE HIERBAS SERRANAS DE MEDIO KILO	DE MARCA	CBSE	 CON DESCRIPCION 	CBSE HIERBAS SERRANAS X12 500GR	y codigo	77812	con preferencia	0

LA 	YERBA CBSE JENGIBRE DE MEDIO KILO	DE MARCA	CBSE	 CON DESCRIPCION 	CBSE YERBA JENGIBRE X12 500GR	y codigo	77815	con preferencia	0

LA 	CHOCOLATA LAS 3 NIÑAS DE LITRO	DE MARCA	3 NILAS	 CON DESCRIPCION 	CHOCOLATADA PARC DESCR TRES NIÃ?AS X12 1L	y codigo	78213	con preferencia	0

LA 	CORONITA EN LATA POR 10	DE MARCA	CORONA	 CON DESCRIPCION 	CORONA CAN 2X10 269 CART	y codigo	21864	con preferencia	0

LA 	CORONITA EN LATA POR 6	DE MARCA	CORONA	 CON DESCRIPCION 	CORONA CAN 4X6 269 CART	y codigo	21863	con preferencia	0

LA 	CORONA EN LATA CARTON	DE MARCA	CORONA	 CON DESCRIPCION 	CORONA CAN 4X6 410CC 6P CART	y codigo	21862	con preferencia	0

LA 	CORONA 710 POR 12	DE MARCA	CORONA	 CON DESCRIPCION 	CORONA OW X12 710	y codigo	20433	con preferencia	0

LA 	CORONA BOTELLA POR 12	DE MARCA	CORONA	 CON DESCRIPCION 	CORONA OW X24 330	y codigo	20412	con preferencia	0

LA 	DILEMA BLANCO DULCE	DE MARCA	DEILEMA	 CON DESCRIPCION 	DILEMA NO HAY TAL BLANCO DULCE X6 750CC	y codigo	78181	con preferencia	0

